,circuito,urna,pp1,pp2,pp3,pp4,nv
161,0006,32,42,171,6,19,62
162,0006,33,47,183,8,9,53
163,0006,34,52,161,14,12,61
164,0006,35,53,170,9,16,52
165,0006,36,56,168,8,13,55
166,0006,37,55,152,17,11,65
167,0006,38,43,170,11,15,61
168,0006,39,55,161,8,21,55
169,0006,40,48,164,9,16,63
170,0006,41,51,171,8,14,56
171,0006,42,61,167,12,12,48
172,0006,43,49,157,13,17,64
173,0006,44,45,157,14,22,62
174,0006,45,60,133,14,23,70
175,0006,46,60,154,6,18,62
176,0006,47,43,175,10,13,59
177,0006,48,53,169,11,13,54
178,0006,49,51,167,8,16,58
179,0006,50,50,158,15,5,48
180,0007,0,51,69,76,44,60
181,0007,1,50,61,79,56,54
182,0007,2,42,84,77,44,53
183,0007,3,40,75,73,48,64
184,0007,4,51,64,82,45,58
185,0007,5,45,61,72,56,66
186,0007,6,42,67,70,53,68
187,0007,7,55,69,73,54,49
188,0007,8,49,74,73,43,61
189,0007,9,35,100,69,43,53
190,0007,10,51,67,84,41,57
191,0007,11,40,78,66,48,68
192,0007,12,41,75,74,51,59
193,0007,13,47,80,62,46,65
194,0007,14,51,77,75,39,58
195,0007,15,48,77,82,28,65
196,0007,16,55,57,65,64,59
197,0007,17,40,84,64,45,67
198,0007,18,41,76,56,63,64
199,0007,19,45,80,69,51,55
200,0007,20,52,58,78,51,61
201,0007,21,49,74,78,52,47
202,0007,22,1,3,2,2,2
203,0008,0,47,117,28,38,70
204,0008,1,56,117,37,31,59
205,0008,2,58,109,35,36,62
206,0008,3,62,120,44,25,49
207,0008,4,60,123,30,34,53
208,0008,5,52,121,32,26,69
209,0008,6,50,125,37,23,65
210,0008,7,53,119,38,32,58
211,0008,8,50,106,41,34,69
212,0008,9,48,103,52,34,63
213,0008,10,52,110,52,37,49
214,0008,11,53,104,43,26,74
215,0008,12,54,123,33,29,61
216,0008,13,48,122,41,34,55
217,0008,14,50,118,40,31,61
218,0008,15,42,136,42,24,56
219,0008,16,48,101,60,38,53
220,0008,17,47,112,38,32,71
221,0008,18,54,114,37,32,63
222,0008,19,43,114,53,30,60
223,0008,20,44,97,24,19,48
224,0009,0,38,49,80,70,63
225,0009,1,44,38,94,62,62
226,0009,2,45,46,84,61,64
227,0009,3,39,53,83,70,55
228,0009,4,42,62,73,66,57
229,0009,5,55,53,79,55,58
230,0009,6,63,41,71,60,65
231,0009,7,52,54,77,65,52
232,0009,8,42,54,93,59,52
233,0009,9,51,39,80,69,61
234,0009,10,45,45,92,63,55
235,0009,11,47,51,79,71,52
236,0009,12,55,52,76,55,62
237,0009,13,55,43,77,66,59
238,0009,14,50,36,92,65,57
239,0009,15,55,35,99,61,50
240,0009,16,55,42,86,62,55
241,0009,17,60,49,75,59,57
242,0009,18,38,20,37,36,31
243,0010,0,51,45,79,68,57
244,0010,1,36,40,84,65,75
245,0010,2,44,43,90,65,58
246,0010,3,39,42,86,80,53
247,0010,4,37,47,68,71,77
248,0010,5,46,36,98,65,55
249,0010,6,64,27,93,60,56
250,0010,7,41,37,96,62,64
251,0010,8,37,50,80,68,65
252,0010,9,51,41,83,65,60
253,0010,10,45,47,84,61,63
254,0010,11,42,37,90,68,63
255,0010,12,45,47,79,66,63
256,0010,13,46,48,84,68,54
257,0010,14,41,44,67,84,64
258,0010,15,46,29,87,69,69
259,0010,16,47,43,81,73,56
260,0010,17,40,45,82,64,69
261,0010,18,29,40,99,78,54
262,0010,19,38,34,99,72,57
263,0010,20,45,41,79,74,61
264,0010,21,73,48,73,58,48
265,0010,22,42,37,73,54,68
266,0011,0,57,67,70,58,48
267,0011,1,61,60,79,52,48
268,0011,2,52,51,71,62,64
269,0011,3,58,48,67,60,67
270,0011,4,61,45,76,62,56
271,0011,5,57,56,69,65,53
272,0011,6,53,68,62,55,62
273,0011,7,55,54,68,67,56
274,0011,8,50,53,60,72,65
275,0011,9,58,46,68,70,58
276,0011,10,50,43,82,47,78
277,0011,11,58,63,74,50,55
278,0011,12,37,68,68,74,53
279,0011,13,60,48,66,52,74
280,0011,14,54,53,85,51,57
281,0011,15,59,52,70,66,53
282,0011,16,63,49,86,46,56
283,0011,17,54,48,75,72,51
284,0011,18,59,53,79,46,63
285,0011,19,56,58,66,64,56
286,0011,20,50,53,73,64,60
287,0011,21,49,47,74,66,64
288,0011,22,54,53,67,65,61
289,0011,23,46,47,70,64,73
290,0011,24,54,49,80,58,59
291,0011,25,53,60,69,60,58
292,0011,26,54,59,74,51,62
293,0011,27,66,49,53,71,61
294,0011,28,54,61,64,61,60
295,0011,29,63,61,61,57,58
296,0011,30,18,31,28,11,19
297,0012,0,74,68,35,49,74
298,0012,1,59,96,30,53,62
299,0012,2,65,91,34,52,58
300,0012,3,74,83,40,43,60
301,0012,4,68,84,49,42,57
302,0012,5,64,86,43,50,57
303,0012,6,73,78,30,56,63
304,0012,7,73,72,46,47,62
305,0012,8,64,81,35,40,80
306,0012,9,64,95,44,43,54
307,0012,10,69,77,36,47,71
308,0012,11,72,87,41,48,52
309,0012,12,69,85,41,40,65
310,0012,13,64,75,36,49,76
311,0012,14,58,95,40,44,63
312,0012,15,86,81,34,42,57
313,0012,16,77,85,43,48,47
314,0012,17,71,79,42,50,58
315,0012,18,55,93,38,47,67
316,0012,19,72,92,37,40,59
317,0012,20,71,70,45,47,67
318,0012,21,65,91,30,53,61
319,0012,22,72,85,45,41,57
320,0012,23,77,78,33,46,66
321,0012,24,57,105,30,43,65
322,0012,25,65,76,47,49,63
323,0012,26,79,78,41,46,56
324,0012,27,73,90,45,45,47
325,0012,28,66,87,42,38,67
326,0012,29,62,78,36,48,76
327,0012,30,74,71,43,46,66
328,0012,31,68,83,47,53,49
329,0012,32,65,85,46,39,65
330,0012,33,22,34,13,21,20
331,0013,0,60,72,53,54,61
332,0013,1,75,76,44,37,68
333,0013,2,68,79,47,36,70
334,0013,3,83,64,40,47,66
335,0013,4,68,79,46,50,57
336,0013,5,58,81,46,53,62
337,0013,6,66,89,41,37,67
338,0013,7,78,89,46,33,54
339,0013,8,77,81,45,48,49
340,0013,9,72,67,46,63,52
341,0013,10,77,78,30,54,61
342,0013,11,63,85,37,66,49
343,0013,12,60,83,33,60,64
344,0013,13,68,100,36,39,57
345,0013,14,76,72,54,47,51
346,0013,15,67,83,42,45,63
347,0013,16,59,79,48,45,69
348,0013,17,85,73,33,53,56
349,0013,18,71,71,59,41,58
350,0013,19,70,69,50,48,63
351,0013,20,71,78,49,51,51
352,0013,21,70,73,52,47,58
353,0013,22,64,87,45,51,53
354,0013,23,55,80,48,51,66
355,0013,24,66,94,34,46,60
356,0013,25,57,90,42,54,57
357,0013,26,73,81,42,38,66
358,0013,27,86,65,51,37,61
359,0013,28,70,68,43,56,63
360,0013,29,53,88,44,54,61
361,0013,30,69,98,31,48,54
362,0013,31,79,72,43,48,58
363,0013,32,83,63,46,41,67
364,0013,33,67,91,40,43,59
365,0013,34,48,95,44,46,67
366,0013,35,52,88,42,46,72
367,0013,36,59,60,35,42,62
368,0014,0,70,66,51,57,56
369,0014,1,70,75,38,59,58
370,0014,2,72,74,52,57,45
371,0014,3,57,73,50,54,66
372,0014,4,67,73,50,58,52
373,0014,5,54,76,49,68,53
374,0014,6,48,78,50,67,57
375,0014,7,66,68,57,51,58
376,0014,8,56,85,55,47,57
377,0014,9,61,77,44,49,67
378,0015,0,69,96,46,40,49
379,0015,1,72,75,34,52,67
380,0015,2,67,67,51,41,74
381,0015,3,57,85,52,51,55
382,0015,4,55,69,53,61,62
383,0015,5,79,60,41,51,69
384,0015,6,64,67,53,42,74
385,0015,7,72,72,45,52,59
386,0015,8,56,77,56,52,59
387,0015,9,69,75,38,58,60
388,0015,10,52,79,52,59,58
389,0015,11,68,64,50,58,60
390,0015,12,67,74,46,40,73
391,0015,13,62,80,26,65,67
392,0015,14,53,67,54,61,65
393,0015,15,78,64,49,51,58
394,0015,16,64,79,54,49,54
395,0015,17,63,68,59,50,60
396,0015,18,58,78,54,61,49
397,0015,19,58,80,55,49,58
398,0015,20,75,66,42,48,69
399,0015,21,79,69,40,41,71
400,0015,22,46,75,40,56,47
401,0016,0,65,87,37,41,70
402,0016,1,72,104,39,35,50
403,0016,2,80,71,48,49,52
404,0016,3,67,88,41,45,59
405,0016,4,70,99,35,41,55
406,0016,5,73,75,40,52,60
407,0016,6,63,97,45,38,57
408,0016,7,70,85,43,36,66
409,0016,8,64,101,40,35,60
410,0016,9,58,90,38,47,67
411,0016,10,64,92,32,42,70
412,0016,11,67,97,29,43,64
413,0016,12,68,84,47,49,52
414,0016,13,76,93,41,36,54
415,0016,14,52,88,45,42,73
416,0016,15,70,90,38,40,62
417,0016,16,69,97,24,34,76
418,0016,17,81,90,37,34,58
419,0016,18,68,75,51,43,63
420,0016,19,55,62,26,31,51
421,0017,0,76,86,41,36,61
422,0017,1,81,75,39,49,56
423,0017,2,61,87,39,52,61
424,0017,3,70,81,51,48,50
425,0017,4,64,86,41,50,59
426,0017,5,67,83,44,37,69
427,0017,6,71,82,45,44,58
428,0017,7,66,73,29,64,68
429,0017,8,68,77,48,38,69
430,0017,9,62,82,49,51,56
431,0017,10,82,77,38,41,62
432,0017,11,64,97,40,42,57
433,0017,12,71,87,47,43,52
434,0017,13,79,80,35,39,67
435,0017,14,77,94,42,51,36
436,0017,15,66,90,37,44,63
437,0017,16,83,68,56,39,54
438,0017,17,74,82,41,54,49
439,0017,18,66,82,48,40,64
440,0017,19,67,81,47,40,65
441,0017,20,72,76,42,55,55
442,0017,21,78,69,41,40,72
443,0017,22,79,71,51,40,59
444,0017,23,62,82,36,48,72
445,0017,24,71,73,52,35,69
446,0017,25,75,81,39,39,66
447,0017,26,69,78,42,42,69
448,0017,27,68,68,45,41,78
449,0017,28,65,83,58,37,57
450,0017,29,77,64,37,64,58
451,0017,30,73,77,36,53,61
452,0017,31,77,76,38,51,58
453,0017,32,49,86,53,46,66
454,0017,33,88,79,34,49,50
455,0017,34,79,84,44,46,47
456,0017,35,44,60,26,40,41
457,0018,0,77,88,31,36,68
458,0018,1,70,94,30,48,58
459,0018,2,74,94,32,34,66
460,0018,3,67,88,43,38,64
461,0018,4,83,76,39,37,65
462,0018,5,53,100,40,38,69
463,0018,6,72,108,42,26,52
464,0018,7,76,89,44,29,62
465,0018,8,74,90,43,41,52
466,0018,9,82,85,31,38,64
467,0018,10,77,73,46,40,64
468,0018,11,78,84,34,39,65
469,0018,12,78,90,41,37,54
470,0018,13,86,77,33,50,54
471,0018,14,84,93,34,29,60
472,0018,15,68,97,40,26,69
473,0018,16,90,86,37,31,56
474,0018,17,90,88,33,37,52
475,0018,18,89,84,34,32,61
476,0018,19,81,75,41,38,65
477,0018,20,85,87,34,33,61
478,0018,21,83,94,37,25,61
479,0018,22,106,64,37,36,57
480,0018,23,57,80,38,42,58
481,0019,0,90,86,28,34,62
482,0019,1,77,101,33,28,61
483,0019,2,88,93,29,44,46
484,0019,3,72,83,40,43,62
485,0019,4,88,95,40,33,44
486,0019,5,66,90,49,31,64
487,0019,6,80,90,37,39,54
488,0019,7,68,84,43,37,68
489,0019,8,77,91,39,33,60
490,0019,9,85,78,35,35,67
491,0019,10,72,89,41,33,65
492,0019,11,97,100,33,25,45
493,0019,12,78,92,33,43,54
494,0019,13,63,109,41,35,52
495,0019,14,90,86,33,43,48
496,0019,15,80,99,32,28,61
497,0019,16,77,107,41,19,56
498,0019,17,82,76,33,46,63
499,0019,18,73,70,46,51,60
500,0019,19,75,79,32,46,68
501,0019,20,82,92,38,38,50
502,0019,21,66,94,39,34,67
503,0019,22,73,103,37,31,56
504,0019,23,81,96,39,37,47
505,0019,24,68,85,38,37,72
506,0019,25,75,89,38,35,63
507,0019,26,72,89,34,38,67
508,0019,27,97,81,34,26,62
509,0019,28,92,85,35,36,52
510,0019,29,82,87,41,38,52
511,0019,30,83,92,31,38,56
512,0019,31,70,96,32,36,66
513,0019,32,63,71,20,36,46
514,0020,0,41,45,104,54,56
515,0020,1,52,54,91,46,57
516,0020,2,41,48,98,52,61
517,0020,3,36,38,80,70,76
518,0020,4,50,27,91,64,68
519,0020,5,43,42,92,72,51
520,0020,6,38,46,77,73,66
521,0020,7,43,52,87,62,56
522,0020,8,41,45,97,61,56
523,0020,9,42,33,86,66,73
524,0020,10,41,33,95,69,62
525,0020,11,42,45,89,75,49
526,0020,12,37,48,82,67,66
527,0020,13,52,43,98,53,54
528,0020,14,40,43,89,65,63
529,0020,15,50,55,83,62,50
530,0020,16,62,33,88,55,62
531,0020,17,45,33,106,60,56
532,0020,18,33,42,100,61,64
533,0020,19,6,2,7,5,6
534,0021,0,41,35,112,59,53
535,0021,1,48,29,102,58,63
536,0021,2,45,28,98,75,54
537,0021,3,39,36,96,64,65
538,0021,4,42,31,90,67,70
539,0021,5,47,30,92,77,54
540,0021,6,42,31,99,66,62
541,0021,7,35,27,95,84,59
542,0021,8,46,29,98,62,65
543,0021,9,43,29,96,62,70
544,0021,10,47,23,100,68,62
545,0021,11,46,28,106,65,55
546,0021,12,29,43,102,69,57
547,0021,13,45,27,106,65,57
548,0021,14,55,33,92,66,54
549,0021,15,57,29,98,54,62
550,0021,16,44,23,98,59,76
551,0021,17,45,28,84,77,66
552,0021,18,45,35,90,66,64
553,0021,19,44,26,105,66,59
554,0021,20,46,37,93,61,63
555,0021,21,53,19,111,60,57
556,0021,22,44,25,102,62,67
557,0021,23,56,20,108,60,56
558,0021,24,32,38,93,72,65
559,0021,25,54,29,100,63,54
560,0021,26,53,37,104,64,42
561,0021,27,34,39,88,74,65
562,0021,28,54,37,102,51,56
563,0021,29,43,27,101,57,72
564,0021,30,46,29,99,68,58
565,0021,31,47,37,91,66,59
566,0021,32,31,26,105,72,66
567,0021,33,42,13,96,75,74
568,0021,34,54,24,94,70,58
569,0021,35,41,27,114,69,49
570,0021,36,26,21,69,37,52
571,0022,0,53,66,70,60,51
572,0022,1,48,56,65,69,62
573,0022,2,41,54,76,68,61
574,0022,3,47,56,72,59,66
575,0022,4,52,42,74,64,68
576,0022,5,44,50,72,80,54
577,0022,6,44,56,60,82,58
578,0022,7,52,45,68,71,64
579,0022,8,47,51,60,81,61
580,0022,9,44,52,73,73,58
581,0022,10,53,46,62,66,73
582,0022,11,41,57,59,78,65
583,0022,12,48,61,73,63,55
584,0022,13,38,61,75,66,60
585,0022,14,47,46,69,83,55
586,0022,15,36,68,66,86,44
587,0022,16,43,45,76,71,65
588,0022,17,41,60,64,77,58
589,0022,18,47,57,62,78,56
590,0022,19,52,46,78,72,52
591,0022,20,47,70,59,72,52
592,0022,21,40,54,68,80,58
593,0022,22,47,56,74,71,52
594,0022,23,37,53,69,71,70
595,0022,24,46,72,60,64,58
596,0022,25,35,55,63,93,54
597,0022,26,38,52,83,83,44
598,0022,27,52,47,65,78,58
599,0022,28,49,47,63,76,65
600,0022,29,43,66,72,58,61
601,0022,30,51,55,67,69,58
602,0022,31,47,54,57,82,60
603,0022,32,50,54,68,79,49
604,0022,33,37,54,78,70,61
605,0022,34,40,48,68,84,60
606,0022,35,43,57,68,74,58
607,0022,36,38,47,75,87,53
608,0022,37,38,51,70,73,68
609,0022,38,50,60,65,80,45
610,0022,39,46,46,78,77,53
611,0022,40,38,59,82,56,65
612,0022,41,44,47,57,90,62
613,0022,42,46,59,85,53,57
614,0022,43,40,56,72,71,61
615,0022,44,46,46,72,73,63
616,0022,45,45,54,68,72,61
617,0022,46,44,47,85,68,56
618,0022,47,36,57,67,76,64
619,0022,48,44,45,68,88,55
620,0022,49,55,58,65,56,66
621,0022,50,54,55,60,72,59
622,0022,51,54,58,71,59,58
623,0022,52,18,13,11,19,21
624,0023,0,48,58,67,74,53
625,0023,1,46,68,63,66,57
626,0023,2,44,52,63,73,68
627,0023,3,40,60,73,67,60
628,0023,4,42,49,64,90,55
629,0023,5,37,43,79,80,61
630,0023,6,49,49,68,86,48
631,0023,7,53,55,81,58,53
632,0023,8,53,53,67,56,71
633,0023,9,42,60,74,67,57
634,0023,10,46,67,59,72,56
635,0023,11,46,52,60,83,59
636,0023,12,34,45,66,84,71
637,0023,13,49,60,58,80,53
638,0023,14,48,46,75,71,60
639,0023,15,36,47,71,76,70
640,0023,16,42,36,75,84,63
641,0023,17,45,53,56,85,61
642,0023,18,45,60,68,63,64
643,0023,19,41,57,70,74,58
644,0023,20,43,53,67,70,67
645,0023,21,53,51,74,58,64
646,0023,22,44,58,74,63,61
647,0023,23,37,51,74,81,57
648,0023,24,40,52,59,90,59
649,0023,25,51,37,79,74,59
650,0023,26,37,68,65,73,57
651,0023,27,53,43,68,72,64
652,0023,28,48,47,81,70,54
653,0023,29,42,43,73,71,71
654,0023,30,38,63,76,66,57
655,0023,31,46,54,68,79,53
656,0023,32,41,62,70,69,58
657,0023,33,47,51,66,72,64
658,0023,34,44,62,72,65,57
659,0023,35,51,59,60,81,49
660,0023,36,39,50,65,86,60
661,0023,37,43,45,81,67,64
662,0023,38,47,54,68,74,57
663,0023,39,38,56,59,80,67
664,0023,40,48,45,71,70,66
665,0023,41,46,58,63,71,62
666,0023,42,43,51,75,59,72
667,0023,43,38,56,84,66,56
668,0023,44,40,48,79,71,62
669,0023,45,38,55,72,68,67
670,0023,46,48,60,63,65,64
671,0023,47,42,57,76,59,66
672,0023,48,52,52,67,68,61
673,0023,49,52,40,64,70,74
674,0023,50,52,57,62,62,67
675,0023,51,51,36,68,68,77
676,0023,52,53,50,66,83,48
677,0023,53,38,56,71,72,63
678,0023,54,48,47,77,71,57
679,0023,55,53,50,67,68,62
680,0023,56,40,39,85,65,71
681,0023,57,49,49,76,65,61
682,0023,58,47,56,58,71,68
683,0023,59,49,44,79,75,53
684,0023,60,40,62,72,77,49
685,0023,61,40,57,57,72,74
686,0023,62,31,45,77,74,73
687,0023,63,53,52,65,69,61
688,0023,64,40,49,70,74,67
689,0023,65,49,62,69,60,60
690,0023,66,44,56,77,62,61
691,0023,67,37,43,75,75,70
692,0023,68,21,29,56,44,42
693,0024,0,54,39,69,76,62
694,0024,1,47,37,82,67,67
695,0024,2,41,51,68,72,68
696,0024,3,42,54,71,72,61
697,0024,4,50,60,65,56,69
698,0024,5,53,45,78,67,57
699,0024,6,43,40,81,77,59
700,0024,7,37,43,68,79,73
701,0024,8,46,47,69,76,62
702,0024,9,44,53,69,77,57
703,0024,10,44,37,83,88,48
704,0024,11,39,45,68,77,71
705,0024,12,50,40,87,63,60
706,0024,13,53,34,78,75,60
707,0024,14,39,46,75,78,62
708,0024,15,49,46,77,64,64
709,0024,16,46,56,74,74,50
710,0024,17,46,64,67,69,54
711,0024,18,39,49,69,80,63
712,0024,19,47,47,86,64,56
713,0024,20,41,52,66,81,60
714,0024,21,53,44,59,84,60
715,0024,22,45,52,69,74,60
716,0024,23,42,53,67,76,62
717,0024,24,43,57,72,65,63
718,0024,25,49,57,67,68,59
719,0024,26,47,52,67,82,52
720,0024,27,59,40,69,67,65
721,0024,28,40,58,74,71,57
722,0024,29,35,55,72,75,63
723,0024,30,34,41,78,72,75
724,0024,31,38,57,63,77,65
725,0024,32,43,57,69,73,58
726,0024,33,37,32,84,85,62
727,0024,34,49,41,85,70,55
728,0024,35,46,48,54,88,64
729,0024,36,44,54,82,62,58
730,0024,37,50,61,70,60,59
731,0024,38,49,56,80,59,56
732,0024,39,56,44,72,59,69
733,0024,40,43,60,61,71,65
734,0024,41,34,32,41,63,53
735,0025,0,48,43,66,72,71
736,0025,1,37,50,90,61,62
737,0025,2,42,47,89,61,61
738,0025,3,43,45,82,77,53
739,0025,4,58,51,68,71,52
740,0025,5,47,58,78,74,43
741,0025,6,53,49,77,51,70
742,0025,7,56,52,70,67,55
743,0025,8,41,48,65,89,57
744,0025,9,44,48,74,71,63
745,0025,10,48,52,85,67,48
746,0025,11,36,40,88,74,62
747,0025,12,48,42,78,75,57
748,0025,13,39,47,72,68,74
749,0025,14,49,45,83,72,51
750,0025,15,43,40,81,72,64
751,0025,16,38,46,65,77,74
752,0025,17,50,38,71,78,63
753,0025,18,46,60,73,70,51
754,0025,19,46,53,80,57,64
755,0025,20,54,43,69,71,63
756,0025,21,54,53,76,67,50
757,0025,22,36,39,71,77,77
758,0025,23,40,53,85,67,55
759,0025,24,57,49,76,58,60
760,0025,25,45,49,75,72,59
761,0025,26,48,53,72,77,50
762,0025,27,45,46,86,59,64
763,0025,28,42,44,75,80,59
764,0025,29,49,44,76,78,53
765,0025,30,44,52,72,80,52
766,0025,31,45,40,82,78,55
767,0025,32,48,46,71,77,58
768,0025,33,38,35,88,74,65
769,0025,34,48,54,69,70,59
770,0025,35,42,43,71,74,70
771,0025,36,52,29,74,88,57
772,0025,37,22,32,52,37,44
773,0026,0,41,59,72,72,56
774,0026,1,40,54,71,74,61
775,0026,2,47,57,72,68,56
776,0026,3,39,49,89,73,50
777,0026,4,60,47,69,69,55
778,0026,5,44,70,60,72,54
779,0026,6,40,53,65,74,68
780,0026,7,41,45,75,78,61
781,0026,8,49,56,67,75,53
782,0026,9,47,51,75,73,54
783,0026,10,40,45,64,89,62
784,0026,11,56,56,55,81,52
785,0026,12,49,53,69,65,64
786,0026,13,51,55,66,71,57
787,0026,14,53,44,55,81,67
788,0026,15,48,46,75,64,67
789,0026,16,39,62,65,77,57
790,0026,17,34,56,92,62,56
791,0026,18,56,45,68,71,60
792,0026,19,47,54,70,72,57
793,0026,20,40,54,65,77,64
794,0026,21,50,52,80,68,50
795,0026,22,45,46,82,70,57
796,0026,23,45,53,70,69,63
797,0026,24,52,52,62,72,62
798,0026,25,49,54,68,78,51
799,0026,26,44,55,66,80,55
800,0026,27,45,48,70,73,64
801,0026,28,41,47,69,85,58
802,0026,29,46,43,67,88,56
803,0026,30,25,62,77,70,66
804,0026,31,43,47,74,82,54
805,0026,32,35,45,81,73,66
806,0026,33,55,48,82,67,48
807,0026,34,44,58,65,72,61
808,0026,35,51,54,63,78,54
809,0026,36,38,53,74,76,59
810,0026,37,41,54,74,73,58
811,0026,38,47,55,61,72,65
812,0026,39,44,56,71,73,56
813,0026,40,39,59,60,73,69
814,0026,41,55,43,66,73,63
815,0026,42,38,45,82,72,63
816,0026,43,42,53,69,69,67
817,0026,44,48,57,61,73,61
818,0026,45,36,33,50,53,28
819,0027,0,35,34,104,75,52
